Character, number of unique words
Gacy, 42
Mailman, 102
Barky, 1
Chef's dad, 76
Scout Leader, 3
Lil Mr. Garrison, 17
Garrison Actor, 7
Jamie Oliver, 20
The kids, 4
Theme, 4
Larsen, 71
News Announcer, 9
Bailey, 49
Other campers, 1
Little Chef, 62
Jukebox, 26
OC Member, 4
Spectators, 4
Water Tester, 165
Mr. Fun, 85
Vince, 53
A Red Wing, 4
Carlos Mencia, 78
BB Founder, 124
Casey, 143
Club Members, 2
Host, 347
Shopper 3, 39
Shopper 4, 41
Shopper 5, 9
Shopper 6, 34
Shopper 7, 19
Shopper 8, 4
Shopper 9, 8
Resident 2, 23
Popeye, 6
Salon Girl, 22
Kindergartners, 43
Mother Lion, 5
Pilgrim, 35
Female passenger, 15
Iraqi Man 2, 2
Iraqi Man 1, 2
Redneck, 8
Female Staffer, 12
Teen Girl 1, 36
Teen Girl 2, 26
Anchor Man, 77
Inductees, 17
Dan Akawa, 91
Optometrist, 2
Commentator 2, 41
Thomas, 444
O.J., 5
His Dad, 33
Van Gelder, 64
Frog King, 186
Black Player, 15
Mrs. Streibel, 7
Deckhand, 5
Cowboys, 5
Paul, 68
Doorman, 39
Harvey Brown, 102
Pinkerton, 133
Mitch, 127
Toothpaste, 6
Taller man, 10
Passer-by, 4
Bloodrayne, 21
Cruise Attendant, 14
Guy with Long Hair, 3
Tape, 30
Craig's father, 24
Red-Haired Woman, 24
Collins, 1
An Elderly Man, 1
Joozian 2, 90
Joozian 1, 128
Wonder Woman, 16
Redneck 9, 9
Redneck 8, 16
Kelly Menskin, 1
Fireman, 50
Redneck 1, 6
Mr. Tenorman, 38
Redneck 3, 3
Zeus, 30
Redneck 5, 15
Redneck 4, 9
Denver Goalie, 5
Redneck 6, 8
Lab Tech, 19
Mall Hankey, 42
Sally, 154
the Gingers, 20
Guy in Audience, 2
Ferrari, 7
Ostrich-baby, 3
Executor, 73
Gelgamek Cardinal, 42
Emcee, 17
Chief Justice, 115
Her crotch, 49
Flannagan, 27
Dominique, 1
Geoff Hamill, 121
Paul Harris, 50
American Female, 10
Haman, 9
Younger Daughter, 6
Jenny's Mother, 12
Road Warrior Queef, 21
McGuire, 7
Mitt, 46
Archangel, 13
Group, 60
Trainer 3, 13
Trainer 1, 49
Anchorwoman, 13
Sixth Graders 2/3, 1
Scoutmaster 1, 16
Scoutmaster 2, 27
Satan, 796
Pharmacist, 162
UAA Member 2, 1
UAA Member 1, 28
Matt Lauer, 54
Colleague, 3
Left Breast, 17
Classmates, 1
Ranger, 40
Shopper 2, 49
The Wise One, 63
Other Goths, 1
Man In Middle, 16
Vernon, 33
Driver 3's Passenger, 13
Stab, 17
Diners, 7
Brunet Boy, 17
Spirit 2, 31
Stan, 5128
Geologist 1, 10
Board Member, 29
Steve Irwin, 17
Chinese Commentator, 110
Line Ride Operator, 27
Christine, 73
Esther, 5
Purple Hare 2, 5
Sawitsky, 66
Male Crew 1, 8
Person, 81
Dr. Land, 46
Akmarh, 115
Breeder, 90
Latino Protesters, 5
Secretary 1, 9
Victoria, 1
All the kids, 1
Dimitri, 21
Female Anchor, 24
FBI agent, 6
Cornwallis, 108
A few others, 1
Motorcycle Driver, 1
Revelers, 6
Muhammad, 4
Older Man, 97
Veteran Guard, 125
Japanese woman, 35
Stockbroker, 63
Ms. Choksondik, 687
Ozzy, 61
Garrison 2, 12
Jimbo, 1525
Ms. Crabtree, 275
Old Cap, 144
Anchor Tom, 188
Ninja 1, 3
Posse, 21
Ralph, 22
Jerry, 24
Brian, 311
Johnny Knoxville, 11
LSX Reporter, 7
Agent Clark, 77
Mr. Garrison, 2437
Goateed man, 16
Pianist, 15
Jarvis, 19
